f_name, R_at_min_dG/dR, min_dG/dR, max_G, R_at_max_G
datasets/barred_galaxies/poisson_noise_bg_run677.01200_1_highres.fits.png,228.0,0.21498294682814395,0.23952854768557233,180.0
datasets/barred_galaxies/poisson_noise_bg_run700.00200_4_highres.fits.png,216.0,0.11447534103408182,0.1265354034996634,156.0
datasets/barred_galaxies/poisson_noise_bg_run671.00900_1_highres.fits.png,168.0,0.14206213897220774,0.1643997156498086,108.0
datasets/barred_galaxies/poisson_noise_bg_run662c.01300_3_highres.fits.png,192.0,0.17561544800482912,0.19688228454976925,144.0
datasets/barred_galaxies/poisson_noise_bg_run662.00700_1_highres.fits.png,192.0,0.18264172110810392,0.20727687743675746,144.0
datasets/barred_galaxies/poisson_noise_bg_run661.01300_4_highres.fits.png,216.0,0.21913921018636562,0.25674566965060697,132.0
datasets/barred_galaxies/poisson_noise_bg_run695.00800_3_highres.fits.png,96.0,0.15689651459328383,0.17283378621115122,72.0
datasets/barred_galaxies/poisson_noise_bg_run671.01000_4_highres.fits.png,204.0,0.14847354931728052,0.16319334353664183,156.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708main.00400_1_highres.fits.png,108.0,0.2082449541294186,0.25392898171115424,72.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708.00400_1_highres.fits.png,144.0,0.21492651119799352,0.23045470691203906,120.0
datasets/barred_galaxies/poisson_noise_bg_run670Diff.01400_3_highres.fits.png,132.0,0.03814592278963885,0.2118609234649457,300.0
datasets/barred_galaxies/poisson_noise_bg_run661.01400_2_highres.fits.png,216.0,0.2121376975867355,0.25893498697725925,120.0
datasets/barred_galaxies/poisson_noise_bg_run.201.std_3_highres.fits.png,72.0,0.01200291114285075,0.29382201331230273,300.0
datasets/barred_galaxies/poisson_noise_bg_run680.01300_2_highres.fits.png,300.0,0.2180108607511487,0.2180108607511487,300.0
datasets/barred_galaxies/poisson_noise_bg_run700.00700_4_highres.fits.png,252.0,0.11052186126474417,0.1269851199939554,168.0
datasets/barred_galaxies/poisson_noise_bg_run672.01400_3_highres.fits.png,168.0,0.16044301034574257,0.183401860121006,120.0
datasets/barred_galaxies/poisson_noise_bg_run653.01150_3_highres.fits.png,252.0,0.1972818109150481,0.22894816157877634,168.0
datasets/barred_galaxies/poisson_noise_bg_run680.01400_4_highres.fits.png,216.0,0.20159497061503567,0.26433724320496604,96.0
datasets/barred_galaxies/poisson_noise_bg_run688.00200_1_highres.fits.png,168.0,0.11419162505702198,0.12770363029614884,120.0
datasets/barred_galaxies/poisson_noise_bg_run670Diff.00600_3_highres.fits.png,96.0,0.16672787101143982,0.19953805333599586,60.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708main.00300_3_highres.fits.png,168.0,0.19313904353802944,0.239754081533464,108.0
datasets/barred_galaxies/poisson_noise_bg_run.287.std_3_highres.fits.png,48.0,0.011022282347851999,0.3016077062027193,300.0
